Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TL_Amazon_SearchItem_TestSuite_001,Chrome 121.0.0.0,,,2024-02-07 22:55:35,2024-02-07 22:55:58,23.071s,FAILED
,,,,,,,
Test Cases/TestListener/TC_Amazon_TL_SearchItem_001,Chrome 121.0.0.0,,,2024-02-07 22:55:40,2024-02-07 22:55:58,17.791s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,2024-02-07 22:55:40,2024-02-07 22:55:45,5.036s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/TL_Amazon_Page_OR/Page_Online Shopping site in India Shop Onl_10c5f3/select_All Categories        Alexa Skills  _59be89""), ""search-alias=beauty"", true)",Chrome 121.0.0.0,,,2024-02-07 22:55:45,2024-02-07 22:55:49,4.245s,PASSED
"setText(findTestObject(""Object Repository/TL_Amazon_Page_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_field-keywords""), ""Lipstick"")",Chrome 121.0.0.0,,,2024-02-07 22:55:49,2024-02-07 22:55:51,1.125s,PASSED
"click(findTestObject(""Object Repository/TL_Amazon_Page_OR/Page_Your Account/span_Sign Out""))",Chrome 121.0.0.0,,,2024-02-07 22:55:51,2024-02-07 22:55:52,1.451s,FAILED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,2024-02-07 22:55:52,2024-02-07 22:55:58,5.856s,FAILED
