Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TL_Amazon_SearchItem_TestSuite_001,Chrome 121.0.0.0,,,2024-02-07 23:38:50,2024-02-07 23:39:25,34.716s,ERROR
,,,,,,,
Test Cases/TestListener/TC_Amazon_TL_SearchItem_001,Chrome 121.0.0.0,,,2024-02-07 23:39:08,2024-02-07 23:39:25,16.506s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,2024-02-07 23:39:08,2024-02-07 23:39:13,4.953s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/TL_Amazon_Page_OR/Page_Online Shopping site in India Shop Onl_10c5f3/select_All Categories        Alexa Skills  _59be89""), ""search-alias=beauty"", true)",Chrome 121.0.0.0,,,2024-02-07 23:39:13,2024-02-07 23:39:18,5.000s,PASSED
"com.qa.test.customFunctions.CheckDropDownListElementExist(findTestObject(""TL_Amazon_Page_OR/Page_Online Shopping site in India Shop Onl_10c5f3/select_All Categories        Alexa Skills  _59be89""), ""Baby"")",Chrome 121.0.0.0,,,2024-02-07 23:39:18,2024-02-07 23:39:18,0.027s,ERROR
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,2024-02-07 23:39:18,2024-02-07 23:39:25,6.462s,FAILED
