Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TL_Amazon_SearchItem_TestSuite_001,Chrome 121.0.0.0,,,2024-02-07 22:45:12,2024-02-07 22:45:44,32.374s,FAILED
,,,,,,,
Test Cases/TestListener/TC_Amazon_TL_SearchItem_001,Chrome 121.0.0.0,,,2024-02-07 22:45:27,2024-02-07 22:45:44,16.965s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,2024-02-07 22:45:27,2024-02-07 22:45:32,5.050s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/TL_Amazon_Page_OR/Page_Online Shopping site in India Shop Onl_10c5f3/select_All Categories        Alexa Skills  _59be89""), ""search-alias=beauty"", true)",Chrome 121.0.0.0,,,2024-02-07 22:45:32,2024-02-07 22:45:37,4.520s,FAILED
"setText(findTestObject(""Object Repository/TL_Amazon_Page_OR/Page_Online Shopping site in India Shop Onl_10c5f3/input_field-keywords""), ""Lipstick"")",Chrome 121.0.0.0,,,2024-02-07 22:45:37,2024-02-07 22:45:37,0.543s,PASSED
"click(findTestObject(""Object Repository/TL_Amazon_Page_OR/Page_Your Account/span_Sign Out""))",Chrome 121.0.0.0,,,2024-02-07 22:45:37,2024-02-07 22:45:38,1.219s,FAILED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,2024-02-07 22:45:38,2024-02-07 22:45:44,5.587s,FAILED
