Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TL_Amazon_SearchItem_TestSuite_001,Chrome 121.0.0.0,,,2024-02-07 23:48:09,2024-02-07 23:48:45,36.004s,ERROR
,,,,,,,
Test Cases/TestListener/TC_Amazon_TL_SearchItem_001,Chrome 121.0.0.0,,,2024-02-07 23:48:30,2024-02-07 23:48:45,14.531s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,2024-02-07 23:48:30,2024-02-07 23:48:35,4.407s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/TL_Amazon_Page_OR/Page_Online Shopping site in India Shop Onl_10c5f3/select_All Categories        Alexa Skills  _59be89""), ""search-alias=beauty"", true)",Chrome 121.0.0.0,,,2024-02-07 23:48:35,2024-02-07 23:48:38,3.800s,PASSED
"com.qa.test.customFunctions.CheckDropDownListElementExist(findTestObject(""TL_Amazon_Page_OR/Page_Online Shopping site in India Shop Onl_10c5f3/select_All Categories        Alexa Skills  _59be89""), ""Baby"")",Chrome 121.0.0.0,,,2024-02-07 23:48:38,2024-02-07 23:48:38,0.028s,ERROR
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,2024-02-07 23:48:38,2024-02-07 23:48:45,6.226s,FAILED
